Adidas Originals		- or
Adidas Sport			- sp
Alexander McQueen		- amq
Arnette                         - arnette
Balenciaga 			- balenciaga
Bottega Veneta 			- bottega
Burberry 			- burberry
Bvlgari				- bvlgari
Carrera 			- carrera
Carrera Ducati
Chiara Ferragni			- ferragni
Chloe				- chloe
David Beckham			- db
Dolce Gabbana			- dg
Emporio Armani			- emporio
Gucci 				- gucci
Guess				- guess
Kate Spade			- spade
Marc Jacobs			- mj
Michael Kors 			- mk
MiuMiu				- miumiu
Moncler				- moncler
Oakley				- oakley
Oakley Kids			- oakley_kids	
Oakley Snow			- oakley_snow
Persol				- persol
Polaroid			- pld
Prada 				- prada
PLR				- plr
rayban				- rb
rayban kids			- rb_kids
rudy 				- rudy
Saint Laurent			- sl
swarovski 			- sk
timberland			- tb
tiffany				- tiffany
tommy_hilfiger			- tommy
tom ford 			- ft
versace 			- versace
vogue				- vogue
